Name,SWIFT,Countries,Maximum Transaction History,GoCardless account selection,Pending Transactions,Private Accounts,Business Accounts,Corporate Accounts,Institution_id,Unique aspects of bank
1822direkt,HELADEF1822,DE,730,No,Yes,Yes,No,No,DIREKT_HELADEF1822,
ABN AMRO Bank,ABNANL2A,NL,540,No,Yes,Yes,Yes,Yes,ABNAMRO_ABNANL2A,"1) Each Connection can have only one account linked to it, if an end user has multiple account, each account will need a seperate connection. 2)In some cases where an account has multiple owners, both have to sign a new contract to be able to authorize PSD2 connections (e.g. both vennoten of a VOF)"
ABN AMRO Bank Commercial,FTSBDEFAXXX,DE,540,No,Yes,Yes,Yes,No,ABNAMRO_FTSBDEFAXXX,"Each Connection can have only one account linked to it, if an end user has multiple account, each account will need a seperate connection"
ABN AMRO Bank Commercial,ABNABE2AXXX,BE,540,No,Yes,No,Yes,No,ABNAMRO_ABNABE2AXXX,"Each Connection can have only one account linked to it, if an end user has multiple account, each account will need a seperate connection"
ABN AMRO Bank Commercial,ABNAGB2LXXX,GB,540,No,Yes,No,No,Yes,ABNAMRO_ABNAGB2LXXX,"Each Connection can have only one account linked to it, if an end user has multiple account, each account will need a seperate connection"
ASN Bank,ASNBNL21,NL,730,No,No,Yes,Yes,Yes,ASN_BANK_ASNBNL21,
Aachener Bank,GENODED1AAC,DE,400,Yes,No,Yes,Yes,Yes,AACHENER_BANK_GENODED1AAC,
Aareal Bank AG,AARBDE5WXXX,DE,365,No,No,Yes,No,No,AAREAL_AARBDE5W,
Aasen Sparebank,AASANO21,NO,720,Yes,No,Yes,Yes,Yes,AASEN_SPAREBANK_AASANO21,
Abanca,CAGLESMM,ES,90,Yes,No,Yes,No,No,ABANCA_CAGLESMM,
Abanca,CAGLPTPL,PT,90,Yes,No,Yes,No,No,ABANCA_CAGLPTPL,
Abanca Corporate,CAGLPTPL,PT,90,No,No,No,No,No,ABANCA_CORP_CAGLPTPL,
Abanca Corporate,CAGLESMM,ES,90,No,No,No,No,No,ABANCA_CORP_CAGLESMM,"Bank allows only 1 consent per PSU at the same time, when new consent is gained, previous is invalidated."
Abtsgmünder Bank,GENODES1ABR,DE,400,Yes,No,Yes,Yes,Yes,ABTSGMUNDER_BANK_GENODES1ABR,
Activo Bank,BSABESBB,ES,730,Yes,Yes,Yes,No,No,ACTIVOBANK_BSABESBB,
Addiko Bank,HAABHR22,HR,730,No,Yes,Yes,Yes,Yes,ADDIKOHR_HAABHR22,
Addiko Bank,HAABSI22,SI,90,No,Yes,Yes,Yes,Yes,ADDIKO_BANK_HAABSI22,"Only one account can be connected per one connection, for multiple accounts multiple requisitions should be created"
Agram Banka,KREZHR2X,HR,730,Yes,Yes,Yes,No,No,AGRAM_BANKA_KREZHR2X,
Aion Bank,BMPBBEBBXXX,BE,730,Yes,No,Yes,Yes,Yes,AION_BMPBBEBBXXX,
Aion Bank,BMPBPLPPXXX,PL,730,Yes,No,Yes,Yes,Yes,AION_BMPBPLPPXXX,
Air Bank,AIRACZPP,CZ,730,Yes,Yes,Yes,No,No,AIRBANK_AIRACZPP,Regular money transfer’s valueDate > bookingDate.
Airbus Bank,AGBMDEMMXXX,DE,400,Yes,No,Yes,Yes,Yes,AIRBUS_BANK_AGBMDEMMXXX,
Airwallex,AIPTAU32,NO SE FI DK EE LV LT NL CZ ES PL BE DE AT BG HR CY FR GR HU IS IE IT LI LU MT PT RO SK SI,730,No,Yes,No,Yes,No,AIRWALLEX_EEA_AIPTAU32,
Airwallex,AIPTAU32,GB,730,No,Yes,No,Yes,No,AIRWALLEX_AIPTAU32,
Aktia,HELSFIHH,FI,730,No,No,Yes,Yes,Yes,AKTIA_HELSFIHH,
Aktivbank,AKBADES1XXX,DE,400,Yes,No,Yes,Yes,Yes,AKTIVBANK_AKBADES1XXX,
Alior Bank,ALBPPLPW,PL,90,No,No,Yes,Yes,Yes,ALIOR_ALBPPLPW,
Allgemeine Sparkasse Oberösterreich Bank AG,ASPKAT2LXXX,AT,730,No,No,Yes,Yes,Yes,ALLGEMEINE_SPARKASSE_OBEROSTERREICH_AG_ASPKAT2LXXX,
Allianz Banque,AGFBFRPPXXX,FR,90,Yes,Yes,Yes,Yes,Yes,ALLIANZ_BANQUE_AGFBFRPPXXX,
Allica Bank,CIIVGB2AXXX,GB,730,No,Yes,No,Yes,No,ALLICA_CIIVGB2AXXX,
